METHOD_ID,PROGRAM,PROGRAM_MODEL,CLAIM_TYPE,ICD_VER,CLAIM_CD_TYPE,CLAIM_CD,CLAIM_CD_MODIFIER_TYPE,CLAIM_CD_MODIFIER,CC_ID,SUBCC,GENDER,EXCLUSION_TYPE_1,EXCLUSION_1,EXCLUSION_TYPE_2,EXCLUSION_2,AGE_FIRST_START,AGE_FIRST_END,AGE_LAST_START,AGE_LAST_END,PROGRAM_CLAIM_TYPE,QUALIFIED_CLAIM,BUNDLED_CHECK,EFFECTIVE_DATE,EXPIRATION_DATE,PERCENT_WEIGHT
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9250,,,40,1023,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.608879
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,C9251,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.553395
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,C9252,,,243,1023,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.966303
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,C9253,,,243,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.598745
2,MCARE,MedicareAdv,I,0,CPT-HCPCS GROUP,C9254,,,243,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.786724
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9255,,,124,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.774917
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9256,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.849928
2,MCARE,MedicareAdv,I,0,CPT-HCPCS GROUP,C9257,,,243,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.957315
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9258,,,40,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.790827
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9259,,,40,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.655626
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9260,,,40,1040,F,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.665877
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9261,,,243,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.859605
2,MCAID,Medicaid,O,0,CPT-HCPCS GROUP,C9262,,,124,1040,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.512242
2,COMM,Commercial,I,0,CPT-HCPCS GROUP,C9263,,,124,1023,M,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.514035
2,MCAID,Medicaid,I,0,CPT-HCPCS GROUP,C9264,,,40,1040,B,,,,,-1,999,-1,999,1,1,0,1/1/1900,12/31/9999,0.578795
