ICD_VER,CLAIM_CD_TYPE,DIAGNOSIS_GROUP,CLAIM_CD
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9250
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9251
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9252
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9253
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9254
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9255
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9256
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9257
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9258
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9259
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9260
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9261
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9262
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9263
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9264
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9265
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9266
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9267
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9268
0,CPT-HCPCS GROUP,CHEMO-DRUG,C9269
0,CPT-HCPCS GROUP,CHEMO-DRUG,J0594
0,CPT-HCPCS GROUP,CHEMO-DRUG,J0894
0,CPT-HCPCS GROUP,CHEMO-DRUG,J1453
0,CPT-HCPCS GROUP,CHEMO-DRUG,J1454
0,CPT-HCPCS GROUP,CHEMO-DRUG,J1455
0,CPT-HCPCS GROUP,CHEMO-DRUG,J3315
0,CPT-HCPCS GROUP,CHEMO-DRUG,J8520
0,CPT-HCPCS GROUP,CHEMO-DRUG,J8521
0,CPT-HCPCS GROUP,CHEMO-DRUG,J9305
0,CPT-HCPCS GROUP,CHEMO-DRUG,J9310
9,DIAGNOSIS_GROUP,AMIFOSTINE,23872
9,DIAGNOSIS_GROUP,AMIFOSTINE,3558
9,DIAGNOSIS_GROUP,AMIFOSTINE,990
9,DIAGNOSIS_GROUP,AMIFOSTINE,999
9,DIAGNOSIS_GROUP,AMIFOSTINE,9950
9,DIAGNOSIS_GROUP,AMIFOSTINE,9951
9,DIAGNOSIS_GROUP,AMIFOSTINE,9952
9,DIAGNOSIS_GROUP,AMIFOSTINE,9953
9,DIAGNOSIS_GROUP,AMIFOSTINE,9954
9,DIAGNOSIS_GROUP,AMIFOSTINE,9955
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,140
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1400
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1401
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1404
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1409
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,173
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1730
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1732
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1738
9,DIAGNOSIS_GROUP,ANTINEOPLASTIC,1739
9,DIAGNOSIS_GROUP,DIABETES,2500
9,DIAGNOSIS_GROUP,DIABETES,25000
9,DIAGNOSIS_GROUP,DIABETES,25001
9,DIAGNOSIS_GROUP,DIABETES,25002
9,DIAGNOSIS_GROUP,DIABETES,2501
9,DIAGNOSIS_GROUP,DIABETES,25010
9,DIAGNOSIS_GROUP,DIABETES,25011
9,DIAGNOSIS_GROUP,DIABETES,25012
9,DIAGNOSIS_GROUP,DIABETES,2502
9,DIAGNOSIS_GROUP,DIABETES,25020
9,DIAGNOSIS_GROUP,HYPERTENSION,401
9,DIAGNOSIS_GROUP,HYPERTENSION,4010
9,DIAGNOSIS_GROUP,HYPERTENSION,4011
9,DIAGNOSIS_GROUP,HYPERTENSION,4019
9,DIAGNOSIS_GROUP,HYPERTENSION,4020
9,DIAGNOSIS_GROUP,HYPERTENSION,4021
9,DIAGNOSIS_GROUP,HYPERTENSION,4029
9,DIAGNOSIS_GROUP,HYPERTENSION,4030
9,DIAGNOSIS_GROUP,HYPERTENSION,4031
9,DIAGNOSIS_GROUP,HYPERTENSION,4039
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N17
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N170
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N171
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N172
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N178
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N179
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N19
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N180
10,DIAGNOSIS_GROUP,ACUTE_KIDNEY_INJURY,N181
